Gene	P_CDF	FC	Occurrence
EGFR	0.061039	0.925999	18.000000
IDH1	0.000001	2.954196	21.000000
RB1	0.656250	0.000000	4.000000
MSH6	0.000015	-4.087463	8.000000
LRP1B	0.345019	-0.321928	10.000000
PIK3CA	0.019531	-2.169925	11.000000
PIK3R1	0.171875	-1.000000	8.000000
PIK3CG	0.007813	-3.000000	10.000000
PTEN	0.364166	-0.247928	29.000000
NF1	0.000273	-2.058894	26.000000
TP53	0.000173	1.624491	44.000000
ATRX	0.000005	3.058894	20.000000
LTBP4	0.000004	-4.247928	10.000000
PDGFRA	0.105057	-1.000000	6.000000
