uniCase	numvar	numPvar	numRvar	numCvar	isHM	numGene	numPcosmic	numRcosmic	numPkdriver	numRkdriver	maxPvaf	maxRvaf
R001	64	62	60	58	0	63	9	10	2	2	58	50
R002	88	69	65	46	0	83	14	13	3	3	79	62
R003	51	50	2	1	0	50	13	0	0	0	54	8
R004	54	50	52	48	0	46	7	6	3	3	58	50
R005	92	76	68	52	0	86	14	17	2	1	87	57
R006	178	11	173	6	0	173	2	17	0	5	15	92
R007	4149	77	4147	75	1	3397	22	219	2	15	58	91
R008	57	39	56	38	0	56	5	5	2	2	88	62
R009	109	85	96	72	0	105	21	18	4	4	79	88
R010	3575	51	3561	37	1	3022	8	202	1	22	97	97
R011	20	20	12	12	0	19	8	4	0	0	44	40
R012	129	91	107	69	0	125	8	6	3	5	59	94
R013	81	70	76	65	0	80	13	15	1	1	41	24
R014	364	328	338	302	0	346	97	93	5	5	100	100
R015	75	38	73	36	0	75	10	12	0	0	87	61
R016	101	41	72	12	0	97	8	9	5	2	53	57
R017	57	41	16	0	0	48	38	4	1	0	42	37
R018	80	61	72	53	0	68	54	53	0	0	48	58
R019	57	40	50	33	0	44	36	39	2	2	57	39
R020	1099	63	1091	55	1	1038	52	107	1	10	79	62
R021	1136	106	1062	32	1	1064	18	63	1	10	57	59
R022	13175	255	13039	119	1	8086	18	625	1	72	64	100
R023	112	86	109	83	0	106	26	29	1	1	96	94
R024	92	53	51	12	0	91	16	13	2	2	53	25
R025	42	40	41	39	0	42	7	7	2	2	40	36
R026	93	53	62	22	0	90	12	14	3	1	52	30
R027	3044	111	3039	106	1	2604	9	154	4	8	93	93
R028	66	66	2	2	0	66	18	0	1	0	93	5
R029	82	47	77	42	0	82	13	13	0	1	34	90
R030	95	73	93	71	0	93	70	71	2	2	100	91
R031	182	120	76	14	0	180	65	27	0	1	79	65
R032	94	90	50	46	0	90	53	44	2	1	44	47
R033	115	90	84	59	0	113	57	50	4	4	83	56
R034	150	134	74	58	0	146	59	58	3	3	36	61
R035	122	118	62	58	0	120	64	57	1	0	95	67
R036	104	68	56	20	0	102	26	26	5	3	87	86
R037	50	50	42	42	0	50	11	10	0	0	69	41
R038	118	95	102	79	0	112	83	70	5	4	60	100
R039	4239	70	4233	64	1	3491	17	234	3	20	44	64
R040	177	126	102	51	0	167	25	18	3	6	68	49
R041	149	135	40	26	0	130	9	10	2	1	81	55
R042	105	53	96	44	0	101	16	16	4	3	72	60
R043	1799	30	1797	28	1	1614	10	123	4	20	52	100
R044	2081	37	2058	14	1	1855	9	123	6	12	67	91
R045	65	26	53	14	0	63	6	9	4	4	81	95
R046	42	12	40	10	0	38	5	9	3	4	93	57
R047	2816	44	2793	21	1	2445	6	145	3	13	94	100
R048	56	20	42	6	0	51	3	6	3	4	85	82
R049	2579	61	2546	28	1	2261	9	133	4	18	77	100
R050	1052	27	1043	18	1	988	7	60	4	11	51	93
R051	2981	17	2973	9	1	2594	3	142	4	21	41	100
R052	117	44	100	27	0	111	8	19	2	2	100	100
R053	156	22	152	18	0	147	4	24	3	4	76	100
R054	37	13	27	3	0	35	5	4	3	3	70	62
R055	4088	42	4078	32	1	3405	6	196	2	22	90	100
R056	150	78	138	66	0	145	17	14	3	2	93	97
R057	106	80	102	76	0	101	18	21	1	3	80	50
R058	40	40	12	12	0	40	3	1	1	0	74	13
R059	42	19	41	18	0	42	4	5	0	1	77	90
R060	74	38	50	14	0	74	9	13	2	1	62	70
R061	174	106	97	29	0	167	21	27	3	2	42	69
R062	70	39	58	27	0	70	8	11	1	1	43	83
R063	35	34	29	28	0	35	4	5	1	1	36	26
R064	200	74	145	19	0	189	14	17	4	7	51	85
R065	68	67	3	2	0	63	20	2	1	1	38	35
R066	82	46	78	42	0	79	10	13	2	2	50	66
R067	41	28	38	25	0	41	8	10	0	0	33	35
R068	124	85	124	85	0	121	13	14	0	0	78	89
R069	46	0	46	0	0	46	0	6	0	1	2	46
R070	112	78	100	66	0	110	14	17	1	1	83	96
R071	181	100	104	23	0	172	23	18	0	1	57	49
R072	35	33	35	33	0	35	5	5	1	1	84	83
R073	62	49	59	46	0	60	4	4	0	0	84	64
R074	55	54	55	54	0	54	13	13	3	3	95	94
R075	71	42	71	42	0	68	14	18	2	2	33	80
R076	64	55	63	54	0	61	5	5	3	3	82	100
R077	1539	41	1536	38	1	1425	6	87	3	10	57	52
R094	29	29	22	22	0	29	5	4	3	3	86	38
R095	44	44	3	3	0	44	11	1	1	0	61	12
R096	16	1	16	1	0	16	1	4	0	1	14	36
R097	95	95	44	44	0	93	18	9	1	0	86	75
R098	81	77	69	65	0	80	21	17	2	1	68	44
R099	41	39	24	22	0	40	6	2	2	2	85	27
R100	53	41	39	27	0	52	8	8	1	2	47	46
R101	130	72	129	71	0	129	13	18	3	4	71	65
R104	36	35	15	14	0	36	5	2	1	0	51	9
R106	75	47	69	41	0	74	8	8	2	3	84	30
R107	83	70	81	68	0	81	10	9	1	1	29	69
R108	109	71	105	67	0	105	16	18	0	1	32	86
R109	110	78	106	74	0	108	17	18	1	1	33	49
