GeneID	nPatients	nSamples	nMutations	nHMsamples	nNonHMsamples	nPsamples	nRsamples	nCsamples	pvPRpropDiff	nLowMut	nHighMut	isSwitch	SwitchCases_1	SwitchCases_2	SwitchCases_3	isKnownDriver	ProteinLen	maxSgt1maxFreq	isCbioRecord	gPCR_ 1	gPCR_ 2	gPCR_ 3	gPCR_ 4	gPCR_ 5	gPCR_ 6	gPCR_ 7	gPCR_ 8	gPCR_ 9	gPCR_10	gPCR_11	gPCR_12	gPCR_13	gPCR_14	gPCR_15	gPCR_16	gPCR_17	gPCR_18	gPCR_19	gPCR_20	gPCR_21	gPCR_22	gPCR_23	gPCR_24	gPCR_25	gPCR_26	gPCR_27	gPCR_28	gPCR_29	gPCR_30	gPCR_31	gPCR_32	gPCR_33	gPCR_34	gPCR_35	gPCR_36	gPCR_37	gPCR_38	gPCR_39	gPCR_40	gPCR_41	gPCR_42	gPCR_43	gPCR_44	gPCR_45	gPCR_46	gPCR_47	gPCR_48	gPCR_49	gPCR_50	gPCR_51	gPCR_52	gPCR_53	gPCR_54	gPCR_55	gPCR_56	gPCR_57	gPCR_58	gPCR_59	gPCR_60	gPCR_61	gPCR_62	gPCR_63	gPCR_64	gPCR_65	gPCR_66	gPCR_67	gPCR_68	gPCR_69	gPCR_70	gPCR_71	gPCR_72	gPCR_73	gPCR_74	gPCR_75	gPCR_76	gPCR_77	gPCR_78	gPCR_79	gPCR_80	gPCR_81	gPCR_82	gPCR_83	gPCR_84	gPCR_85	gPCR_86	gPCR_87	gPCR_88	gPCR_89	gPCR_90
PTEN	29	45	34	6	19	20	25	16	0.491118850480673	1	12	1	R064			1	576	90	5	0	0	0	0	0	0	3	3	0	0	0	3	3	0	0	0	0	0	3	0	2	2	0	2	0	0	0	0	0	3	0	0	3	2	0	0	0	1	3	3	0	3	2	0	0	2	0	0	0	0	2	0	0	0	0	0	3	0	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0	3	3	0	0	0	1	0	0	0	0	0	0	1	3	3	2	0
TP53	44	75	56	11	28	36	39	31	0.76236881846984	0	8	3	R038	R048	R061	1	393	100	19	3	0	0	0	0	2	0	3	3	0	0	0	0	3	0	0	1	0	3	0	0	2	0	1	0	1	3	0	0	0	2	0	3	3	0	3	0	3	2	0	0	3	3	3	3	3	3	3	3	3	3	0	3	1	3	0	0	0	0	1	3	3	3	2	0	0	0	0	2	3	2	3	0	0	0	3	3	3	0	0	0	0	3	0	0	0	2	0	0	0
ATRX	20	37	26	9	10	18	19	17	1	1	19	2	R048	R054		1	2492	100	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
IDH1	21	40	23	10	11	19	21	19	0.857714480660708	2	0	0				1	414	76	5	0	0	0	0	0	0	0	0	3	2	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0
EGFR	18	28	28	5	9	14	14	10	0.8370618286478	3	0	1	R022			1	1210	96	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	3	0	3	0	3	1	0	3	0	0	0	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	2	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NF1	26	37	38	9	14	14	23	11	0.140061607201753	4	19	1	R064			1	2839	82	1	0	3	0	3	0	2	0	0	0	2	0	0	0	3	0	1	0	0	0	0	2	2	0	0	3	1	0	0	0	0	0	0	3	1	0	0	0	3	2	0	3	3	2	0	0	0	0	0	2	0	2	0	2	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	2	3	0	0	0	0	0
PIK3CA	11	17	12	2	8	7	10	6	0.610234225411385	0	0	0				1	1068	45	36	3	0	0	3	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0
MUC16	34	47	126	15	16	16	31	13	0.0175162317718711	43	3	0				0	14507	51	1	0	0	1	0	0	0	2	0	0	3	0	3	3	0	2	0	2	2	2	2	2	3	0	2	0	0	3	0	0	3	1	0	0	0	3	2	0	0	3	0	0	0	2	2	0	0	2	0	2	2	2	3	0	0	2	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	3	0	3	0	0	2	0	0	0
NOS1	7	10	10	4	3	3	7	3	0.328971774410624	2	0	1	R022			0	1468	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CELSR1	9	13	18	6	3	4	9	4	0.249414977561364	7	0	1	R022			0	3014	81	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
